race_id,race_title,race_date,着順,馬番,馬名,コーナー通過順,上がり3F,単勝オッズ,複勝配当,条件1,条件2,仮説フラグ
202505010106,3歳未勝利,2025/02/01,5,11,スペードギニー,5-6-6,34.0,3.3,0,False,True,False
202505010106,3歳未勝利,2025/02/01,6,1,キューティリップ,7-6-7,34.0,4.5,0,False,True,False
202505010106,3歳未勝利,2025/02/01,7,2,ストラスブール,4-4-3,34.5,144.1,0,False,False,False
202505010106,3歳未勝利,2025/02/01,8,13,マイネルアレス,13-13-13,33.5,8.6,0,True,True,True
202505010106,3歳未勝利,2025/02/01,9,3,エポカリーナ,5-4-5,34.4,573.0,0,True,False,False
202505010106,3歳未勝利,2025/02/01,10,8,シンデレラダッシュ,10-11-10,33.7,47.2,0,False,False,False
202505010106,3歳未勝利,2025/02/01,11,6,レディーフランシス,8-8-7,34.2,23.9,0,True,True,True
202505010106,3歳未勝利,2025/02/01,12,15,ナリノボガート,15-15-16,33.6,106.9,0,True,False,False
202505010106,3歳未勝利,2025/02/01,13,9,ピュルテ,10-11-10,34.3,60.8,0,False,False,False
202505010106,3歳未勝利,2025/02/01,14,5,リュウノハミング,10-10-10,34.4,363.0,0,False,False,False
202505010106,3歳未勝利,2025/02/01,15,10,ブライトライツ,15-15-15,35.2,511.9,0,False,False,False
202505010106,3歳未勝利,2025/02/01,16,16,コスモコロネット,13-14-13,35.6,107.4,0,True,False,False
202505010107,4歳以上1勝クラス,2025/02/01,1,8,ゴールデンオスカー,6-6,36.6,3.5,160,False,True,False
202505010107,4歳以上1勝クラス,2025/02/01,2,4,ダイオジェナイト,8-7,36.9,4.7,180,False,True,False
202505010107,4歳以上1勝クラス,2025/02/01,3,14,サトノアルペジオ,8-9,36.9,8.4,220,False,False,False
202505010107,4歳以上1勝クラス,2025/02/01,4,16,ロードブライト,14-14,36.2,81.6,0,False,False,False
202505010107,4歳以上1勝クラス,2025/02/01,5,10,モナコブル,12-12,36.6,32.3,0,False,True,False
202505010107,4歳以上1勝クラス,2025/02/01,6,12,ビッグフラワー,11-9,37.0,52.5,0,False,False,False
202505010107,4歳以上1勝クラス,2025/02/01,7,11,アオカミ,8-9,37.3,22.7,0,False,False,False
202505010107,4歳以上1勝クラス,2025/02/01,8,1,リュクススティール,15-16,36.5,93.2,0,True,False,False
202505010107,4歳以上1勝クラス,2025/02/01,9,13,サンリコリス,7-7,37.8,4.8,0,True,False,False
202505010107,4歳以上1勝クラス,2025/02/01,10,5,アフトクラーティラ,2-2,39.0,34.4,0,False,False,False
202505010107,4歳以上1勝クラス,2025/02/01,11,3,オーロラアーク,12-12,37.6,64.5,0,True,False,False
202505010107,4歳以上1勝クラス,2025/02/01,12,7,ヤルダバオト,15-14,37.7,111.9,0,False,True,False
202505010107,4歳以上1勝クラス,2025/02/01,13,2,アルーリングタイム,1-1,39.9,4.6,0,True,False,False
202505010107,4歳以上1勝クラス,2025/02/01,14,15,スピードパンサー,2-3,41.4,40.8,0,False,False,False
202505010107,4歳以上1勝クラス,2025/02/01,15,6,ショウナンダール,5-4,41.4,40.8,0,False,False,False
202505010107,4歳以上1勝クラス,2025/02/01,16,9,サリーチャン,4-5,41.9,458.7,0,True,False,False
202505010108,4歳以上2勝クラス,2025/02/01,1,11,ハーバーライト,8-8-3-3,36.1,6.9,410,False,False,False
202505010108,4歳以上2勝クラス,2025/02/01,2,10,ティルドーン,1-1-1-1,36.4,6.9,470,False,False,False
202505010108,4歳以上2勝クラス,2025/02/01,3,7,サンライズゴラッソ,10-10-10-8,35.7,20.7,690,True,False,False
202505010108,4歳以上2勝クラス,2025/02/01,4,3,シグムンド,3-3-2-2,36.6,13.3,0,True,False,False
